-BEGIN HEADER-,,,
NASA/POWER Source Native Resolution Daily Data ,,,
Dates (month/day/year): 01/01/2025 through 06/26/2025 in LST,,,
Location: latitude  28.228   longitude 112.938 ,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 88.64 meters,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,
parameter(s): ,,,
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,
-END HEADER-,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DNI
2025,1,1,-999
2025,1,2,-999
2025,1,3,-999
2025,1,4,-999
2025,1,5,-999
2025,1,6,-999
2025,1,7,-999
2025,1,8,-999
2025,1,9,-999
2025,1,10,-999
2025,1,11,-999
2025,1,12,-999
2025,1,13,-999
2025,1,14,-999
2025,1,15,-999
2025,1,16,-999
2025,1,17,-999
2025,1,18,-999
2025,1,19,-999
2025,1,20,-999
2025,1,21,-999
2025,1,22,-999
2025,1,23,-999
2025,1,24,-999
2025,1,25,-999
2025,1,26,-999
2025,1,27,-999
2025,1,28,-999
2025,1,29,-999
2025,1,30,-999
2025,1,31,-999
2025,2,1,-999
2025,2,2,-999
2025,2,3,-999
2025,2,4,-999
2025,2,5,-999
2025,2,6,-999
2025,2,7,-999
2025,2,8,-999
2025,2,9,-999
2025,2,10,-999
2025,2,11,-999
2025,2,12,-999
2025,2,13,-999
2025,2,14,-999
2025,2,15,-999
2025,2,16,-999
2025,2,17,-999
2025,2,18,-999
2025,2,19,-999
2025,2,20,-999
2025,2,21,-999
2025,2,22,-999
2025,2,23,-999
2025,2,24,-999
2025,2,25,-999
2025,2,26,-999
2025,2,27,-999
2025,2,28,-999
2025,3,1,-999
2025,3,2,-999
2025,3,3,-999
2025,3,4,-999
2025,3,5,-999
2025,3,6,-999
2025,3,7,-999
2025,3,8,-999
2025,3,9,-999
2025,3,10,-999
2025,3,11,-999
2025,3,12,-999
2025,3,13,-999
2025,3,14,-999
2025,3,15,-999
2025,3,16,-999
2025,3,17,-999
2025,3,18,-999
2025,3,19,-999
2025,3,20,-999
2025,3,21,-999
2025,3,22,-999
2025,3,23,-999
2025,3,24,-999
2025,3,25,-999
2025,3,26,-999
2025,3,27,-999
2025,3,28,-999
2025,3,29,-999
2025,3,30,-999
2025,3,31,-999
2025,4,1,-999
2025,4,2,-999
2025,4,3,-999
2025,4,4,-999
2025,4,5,-999
2025,4,6,-999
2025,4,7,-999
2025,4,8,-999
2025,4,9,-999
2025,4,10,-999
2025,4,11,-999
2025,4,12,-999
2025,4,13,-999
2025,4,14,-999
2025,4,15,-999
2025,4,16,-999
2025,4,17,-999
2025,4,18,-999
2025,4,19,-999
2025,4,20,-999
2025,4,21,-999
2025,4,22,-999
2025,4,23,-999
2025,4,24,-999
2025,4,25,-999
2025,4,26,-999
2025,4,27,-999
2025,4,28,-999
2025,4,29,-999
2025,4,30,-999
2025,5,1,-999
2025,5,2,-999
2025,5,3,-999
2025,5,4,-999
2025,5,5,-999
2025,5,6,-999
2025,5,7,-999
2025,5,8,-999
2025,5,9,-999
2025,5,10,-999
2025,5,11,-999
2025,5,12,-999
2025,5,13,-999
2025,5,14,-999
2025,5,15,-999
2025,5,16,-999
2025,5,17,-999
2025,5,18,-999
2025,5,19,-999
2025,5,20,-999
2025,5,21,-999
2025,5,22,-999
2025,5,23,-999
2025,5,24,-999
2025,5,25,-999
2025,5,26,-999
2025,5,27,-999
2025,5,28,-999
2025,5,29,-999
2025,5,30,-999
2025,5,31,-999
2025,6,1,-999
2025,6,2,-999
2025,6,3,-999
2025,6,4,-999
2025,6,5,-999
2025,6,6,-999
2025,6,7,-999
2025,6,8,-999
2025,6,9,-999
2025,6,10,-999
2025,6,11,-999
2025,6,12,-999
2025,6,13,-999
2025,6,14,-999
2025,6,15,-999
2025,6,16,-999
2025,6,17,-999
2025,6,18,-999
2025,6,19,-999
2025,6,20,-999
2025,6,21,-999
2025,6,22,-999
2025,6,23,-999
2025,6,24,-999
2025,6,25,-999
2025,6,26,-999
